"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0~9세","2022년05월_계_10~19세","2022년05월_계_20~29세","2022년05월_계_30~39세","2022년05월_계_40~49세","2022년05월_계_50~59세","2022년05월_계_60~69세","2022년05월_계_70~79세","2022년05월_계_80~89세","2022년05월_계_90~99세","2022년05월_계_100세 이상"
"서울특별시  (1100000000)","9,496,887","9,496,887","567,846","753,608","1,414,109","1,431,377","1,471,932","1,507,508","1,290,016","708,167","308,073","42,528","1,723"
"서울특별시 종로구 (1111000000)","143,850","143,850","6,726","10,234","22,718","19,379","20,580","24,814","20,387","11,650","6,362","960","40"
"서울특별시 중구 (1114000000)","122,054","122,054","6,091","6,500","18,003","19,862","17,229","19,939","18,009","10,336","5,207","844","34"
"서울특별시 용산구 (1117000000)","222,083","222,083","12,380","14,559","32,347","37,680","33,400","36,024","29,389","15,969","8,802","1,457","76"
"서울특별시 성동구 (1120000000)","284,173","284,173","18,785","18,940","42,757","46,229","42,904","45,723","38,015","20,216","9,373","1,179","52"
"서울특별시 광진구 (1121500000)","340,062","340,062","17,276","24,613","61,501","54,720","50,153","53,900","44,314","22,378","9,848","1,303","56"
"서울특별시 동대문구 (1123000000)","337,443","337,443","19,123","22,972","56,485","48,645","48,744","52,078","47,535","27,593","12,687","1,513","68"
"서울특별시 중랑구 (1126000000)","388,736","388,736","21,104","25,204","53,978","57,752","55,654","67,016","61,162","31,813","13,358","1,630","65"
"서울특별시 성북구 (1129000000)","433,531","433,531","26,996","36,530","65,997","58,397","67,403","70,157","57,226","32,822","15,857","2,072","74"
"서울특별시 강북구 (1130500000)","296,726","296,726","13,526","20,469","40,597","36,431","43,101","51,421","47,079","29,422","13,125","1,507","48"
"서울특별시 도봉구 (1132000000)","315,162","315,162","16,391","23,820","40,608","38,860","45,417","55,766","51,611","27,742","13,143","1,718","86"
"서울특별시 노원구 (1135000000)","508,867","508,867","29,643","50,076","69,444","62,563","80,559","86,830","71,140","37,870","18,039","2,613","90"
"서울특별시 은평구 (1138000000)","473,669","473,669","27,141","36,996","64,771","66,738","73,631","77,781","67,453","38,978","17,971","2,136","73"
"서울특별시 서대문구 (1141000000)","305,615","305,615","18,531","22,594","48,984","44,100","45,155","48,910","40,042","23,358","12,284","1,580","77"
"서울특별시 마포구 (1144000000)","367,474","367,474","22,750","27,564","61,268","62,966","59,194","55,185","41,286","23,516","11,999","1,675","71"
"서울특별시 양천구 (1147000000)","444,925","444,925","28,528","48,869","56,472","54,964","75,558","76,040","60,795","30,146","11,748","1,751","54"
"서울특별시 강서구 (1150000000)","572,959","572,959","35,396","43,042","84,935","97,799","89,034","83,956","79,450","40,490","16,226","2,539","92"
"서울특별시 구로구 (1153000000)","395,146","395,146","24,994","28,875","53,423","60,522","60,680","62,084","57,510","32,551","12,905","1,555","47"
"서울특별시 금천구 (1154500000)","231,427","231,427","11,298","13,805","37,286","37,011","31,437","39,072","34,896","18,303","7,404","882","33"
"서울특별시 영등포구 (1156000000)","376,290","376,290","24,110","23,563","58,335","69,314","55,330","56,146","48,135","27,277","12,447","1,580","53"
"서울특별시 동작구 (1159000000)","385,755","385,755","22,332","27,153","64,950","60,551","56,992","58,208","50,447","30,033","13,201","1,803","85"
"서울특별시 관악구 (1162000000)","486,686","486,686","19,016","26,955","109,537","85,790","64,986","66,732","59,772","37,131","14,987","1,707","73"
"서울특별시 서초구 (1165000000)","408,133","408,133","30,472","44,224","50,973","58,038","74,187","62,811","47,836","27,196","10,518","1,779","99"
"서울특별시 강남구 (1168000000)","531,744","531,744","33,718","59,191","69,695","76,697","97,168","82,669","61,328","35,784","13,137","2,257","100"
"서울특별시 송파구 (1171000000)","662,960","662,960","48,063","58,118","89,584","106,437","108,590","102,608","88,239","42,935","15,680","2,610","96"
"서울특별시 강동구 (1174000000)","461,417","461,417","33,456","38,742","59,461","69,932","74,846","71,638","66,960","32,658","11,765","1,878","81"
"부산광역시  (2600000000)","3,338,167","3,338,167","214,227","265,390","407,345","401,267","499,981","551,219","550,216","303,785","128,358","15,945","434"
"부산광역시 중구 (2611000000)","40,537","40,537","1,074","1,842","5,924","4,490","5,040","6,675","7,900","5,022","2,239","323","8"
"부산광역시 서구 (2614000000)","103,810","103,810","5,049","7,055","12,621","10,251","13,917","16,912","19,076","12,319","5,866","728","16"
"부산광역시 동구 (2617000000)","88,222","88,222","3,950","4,816","10,238","10,584","11,590","14,347","16,149","10,765","5,129","632","22"
"부산광역시 영도구 (2620000000)","109,460","109,460","4,693","6,943","11,052","10,059","14,324","18,335","22,149","14,712","6,458","716","19"
"부산광역시 부산진구 (2623000000)","350,977","350,977","19,368","23,830","50,502","46,599","49,494","56,037","57,207","32,031","14,265","1,612","32"
"부산광역시 동래구 (2626000000)","273,996","273,996","19,944","25,177","31,195","32,971","43,966","44,035","42,594","23,537","9,368","1,179","30"
"부산광역시 남구 (2629000000)","260,261","260,261","15,887","22,612","33,727","27,529","39,909","41,984","41,317","25,501","10,516","1,244","35"
"부산광역시 북구 (2632000000)","280,647","280,647","17,689","22,122","34,370","33,348","39,264","51,577","49,117","22,759","9,217","1,153","31"
"부산광역시 해운대구 (2635000000)","392,110","392,110","26,109","36,328","45,184","44,201","62,914","69,169","60,247","31,795","14,225","1,877","61"
"부산광역시 사하구 (2638000000)","305,393","305,393","17,846","24,344","37,355","34,757","44,571","52,792","53,838","27,660","10,815","1,392","23"
"부산광역시 금정구 (2641000000)","224,746","224,746","11,484","16,918","31,046","23,500","30,577","38,399","39,532","22,318","9,692","1,247","33"
"부산광역시 강서구 (2644000000)","143,914","143,914","19,389","13,394","12,599","26,236","27,005","17,141","17,276","7,439","2,943","478","14"
"부산광역시 연제구 (2647000000)","206,506","206,506","13,675","16,155","24,410","26,173","31,378","33,439","33,575","18,946","7,825","902","28"
"부산광역시 수영구 (2650000000)","174,665","174,665","9,596","11,358","23,625","23,435","24,787","26,906","28,877","17,612","7,486","952","31"
"부산광역시 사상구 (2653000000)","206,099","206,099","10,722","14,279","26,845","23,830","28,046","38,086","38,789","18,201","6,591","687","23"
"부산광역시 기장군 (2671000000)","176,824","176,824","17,752","18,217","16,652","23,304","33,199","25,385","22,573","13,168","5,723","823","28"
"대구광역시  (2700000000)","2,376,676","2,376,676","163,585","217,674","303,920","282,025","368,705","418,324","344,610","181,408","85,638","10,519","268"
"대구광역시 중구 (2711000000)","78,703","78,703","5,511","5,350","11,861","11,533","11,251","11,595","10,406","7,108","3,553","511","24"
"대구광역시 동구 (2714000000)","341,070","341,070","23,301","26,226","39,865","42,934","50,785","56,461","53,739","31,374","14,668","1,678","39"
"대구광역시 서구 (2717000000)","161,790","161,790","6,398","9,818","19,109","16,353","20,777","31,478","31,798","17,540","7,694","805","20"
"대구광역시 남구 (2720000000)","141,520","141,520","6,071","8,859","19,466","16,365","18,909","23,838","24,130","15,043","7,823","995","21"
"대구광역시 북구 (2723000000)","435,869","435,869","30,844","41,698","61,052","51,858","69,050","78,333","58,308","29,445","13,668","1,572","41"
"대구광역시 수성구 (2726000000)","415,306","415,306","28,082","48,612","51,479","41,636","69,144","74,873","54,627","29,681","15,050","2,059","63"
"대구광역시 달서구 (2729000000)","539,528","539,528","35,384","52,236","73,247","61,541","83,609","100,629","78,493","36,112","16,235","1,998","44"
"대구광역시 달성군 (2771000000)","262,890","262,890","27,994","24,875","27,841","39,805","45,180","41,117","33,109","15,105","6,947","901","16"
"인천광역시  (2800000000)","2,955,167","2,955,167","213,152","270,717","385,619","401,964","481,428","511,681","406,819","184,293","85,824","13,244","426"
"인천광역시 중구 (2811000000)","147,093","147,093","11,699","13,480","18,926","22,485","25,949","22,074","17,833","9,654","4,278","690","25"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","59,322","59,322","3,235","4,708","6,077","6,433","9,350","9,627","10,053","6,388","2,986","452","13"
